id;nome;siglaPartido;siglaUf;genero
160531;JHONATAN DE JESUS;PRB;RR;M
160573;JOÃO ARRUDA;MDB;PR;M
74366;JOÃO CAMPOS;PRB;GO;M
141458;JOÃO CARLOS BACELAR;PR;BA;M
178970;JOÃO DANIEL;PT;SE;M
178965;JOÃO DERLY;REDE;RS;M
178917;JOÃO FERNANDO COUTINHO;PROS;PE;M
178856;JOÃO GUALBERTO;PSDB;BA;M
112437;JOÃO MARCELO SOUZA;MDB;MA;M
178967;JOÃO PAULO KLEINÜBING;DEM;SC;M
178988;JOÃO PAULO PAPA;PSDB;SP;M
160571;JOÃO RODRIGUES;PSD;SC;M
178910;JOAQUIM PASSARINHO;PSD;PA;M
178971;JONY MARCOS;PRB;SE;M
160572;JORGE CÔRTE REAL;PTB;PE;M
178857;JORGE SOLLA;PT;BA;M
73535;JORGE TADEU MUDALEN;DEM;SP;M
160509;JORGINHO MELLO;PR;SC;M
141464;JOSÉ AIRTON CIRILO;PT;CE;M
74553;JOSÉ CARLOS ALELUIA;DEM;BA;M
74140;JOSÉ CARLOS ARAÚJO;PR;BA;M
141470;JOSÉ GUIMARÃES;PT;CE;M
74275;JOSÉ MENTOR;PT;SP;M
160619;JOSÉ NUNES;PSD;BA;M
74395;JOSÉ OTÁVIO GERMANO;PP;RS;M
74079;JOSÉ PRIANTE;MDB;PA;M
73714;JOSÉ REINALDO;PSDB;MA;M
74554;JOSÉ ROCHA;PR;BA;M
160607;JOSE STÉDILE;PSB;RS;M
74141;JOSIAS GOMES;PT;BA;M
74351;JOSUÉ BENGTSON;PTB;PA;M
73666;JOVAIR ARANTES;PTB;GO;M
141474;JULIÃO AMIN;PDT;MA;M
74317;JÚLIO CESAR;PSD;PI;M
73586;JÚLIO DELGADO;PSB;MG;M
74253;JULIO LOPES;PP;RJ;M
178885;JUNIOR MARRECA;PATRI;MA;M
160544;JUNJI ABE;MDB;SP;M
178886;JUSCELINO FILHO;DEM;MA;M
74570;JUTAHY JUNIOR;PSDB;BA;M
178918;KAIO MANIÇOBA;SD;PE;M
151208;LAERCIO OLIVEIRA;PP;SE;M
141478;LAERTE BESSA;PR;DF;M
178894;LAUDIVIO CARVALHO;PODE;MG;M
141480;LÁZARO BOTELHO;PP;TO;M
141562;LELO COIMBRA;MDB;ES;M
178825;LEO DE BRITO;PT;AC;M
74156;LEONARDO MONTEIRO;PT;MG;M
74254;LEONARDO PICCIANI;MDB;RJ;M
141482;LEONARDO QUINTÃO;MDB;MG;M
74299;LEÔNIDAS CRISTINO;PDT;CE;M
160663;LEOPOLDO MEYER;PSB;PR;M
74585;LINCOLN PORTELA;PR;MG;M
141483;LINDOMAR GARÇON;PRB;RO;M
74277;LOBBE NETO;PSDB;SP;M
178879;LUCAS VERGILIO;SD;GO;M
178931;LUCIANO DUCCI;PSB;PR;M
178954;LUCIO MOSQUINI;MDB;RO;M
141484;LÚCIO VALE;PR;PA;M
94931;LUCIO VIEIRA LIMA;MDB;BA;M
73483;LUIS CARLOS HEINZE;PP;RS;M
160510;LUIS TIBÉ;AVANTE;MG;M
73778;LUIZ CARLOS HAULY;PSDB;PR;M
178802;LUIZ CARLOS RAMOS ;PR;RJ;M
178955;LUIZ CLÁUDIO;PR;RO;M
74041;LUIZ COUTO;PT;PB;M
141487;LUIZ FERNANDO FARIA;PP;MG;M
178982;LUIZ LAURO FILHO;PSB;SP;M
162332;LUIZ NISHIMORI;PR;PR;M
74688;LUIZ SÉRGIO;PT;RJ;M
178867;MACEDO;PP;CE;M
178826;MAJOR OLIMPIO;PSL;SP;M
160633;MANDETTA;DEM;MS;M
