idProposicao;idAutor
2123153;108215
2123154;108579
2123155;108579
2123156;108579
2123157;108579
2123158;108579
2123165;108429
2123167;108203
2123169;108375
2123170;108538
2123171;108538
2123173;108592
2123175;108215
2123176;108142
2123177;108142
2123178;108210
2123179;108210
2123186;108185
2123189;108590
2123190;108590
2123191;108590
2123192;108590
2123193;108590
2123194;108590
2123196;108473
2123197;108473
2123198;108294
2123199;108302
2123200;108302
2123201;108302
2123202;108302
2123203;108302
2123204;108302
2123205;108302
2123206;108433
2123207;108433
2123208;108274
2123209;108274
2123210;108164
2123211;108164
2123213;108447
2123214;108557
2123219;108293
2123220;108293
2123222;108488
2123223;108488
2123224;108488
2123225;108344
2123226;108344
2123227;108433
2123228;108433
2123235;310020
2123236;310020
2123237;310020
2123238;108367
2123241;108582
2123242;108582
2123243;108367
2123243;108515
2123243;108165
2123243;108233
2123243;108120
2123243;108567
2123243;108106
2123243;108327
2123246;108367
2123246;108515
2123246;108165
2123246;108233
2123246;108120
2123246;108567
2123246;108106
2123246;108327
2123247;108367
2123247;108515
2123247;108165
2123247;108233
2123247;108120
2123247;108567
2123247;108106
2123247;108327
2123248;108367
2123248;108515
2123248;108165
2123248;108233
2123248;108120
2123248;108567
2123248;108106
2123248;108327
2123249;108367
2123249;108515
2123249;108165
2123249;108233
2123249;108120
2123249;108567
2123249;108106
2123249;108327
2123250;108367
2123250;108515
2123250;108165
2123250;108233
2123250;108120
2123250;108567
2123250;108106
2123250;108327
2123251;108367
2123251;108515
2123251;108165
2123251;108233
2123251;108120
2123251;108567
2123251;108106
2123251;108327
2123252;108509
2123253;108628
2123254;108628
2123255;108628
2123256;108173
2123257;108173
2123258;108173
2123264;108285
2123264;108188
2123265;108285
2123267;108285
2123268;108135
2123269;108135
2123270;108135
2123271;108135
2123272;108135
2123273;108135
2123274;108509
2123275;108542
2123276;108585
2123277;4736
2123278;108233
2123279;108233
2123280;108366
2123281;108521
2123281;108293
2123282;108293
2123334;108150
2123354;108172
2123355;481247
2123356;481247
2123357;108191
2123358;108191
2123359;108191
2123360;108191
2123361;108191
2123362;310020
2123363;310020
2123364;310020
2123365;108594
2123367;108594
2123368;108594
2123369;108594
2123370;108293
2123371;108293
2123372;108293
2123373;108293
2123374;108187
2123375;108187
2123376;108293
2123377;108293
2123378;108293
2123379;108293
2123380;4736
2123382;108410
2123382;108474
2123383;108410
2123383;108474
2123384;108410
2123384;108474
2123385;108410
2123385;108474
2123386;108410
2123386;108474
2123387;4736
2123388;4736
2123389;108219
2123390;108278
2123391;108211
2123392;108211
2123393;108211
2123394;108215
2123395;108215
2123396;108180
2123397;108215
2123398;108215
2123403;108475
2123404;108475
2123405;108475
2123406;108150
2123407;108300
2123408;108300
2123409;108300
2123410;108300
2123411;108437
2123412;108437
2123413;108300
2123414;108300
2123415;108437
2123416;108567
2123417;108567
2123418;108567
2123419;108567
2123420;108567
2123421;108567
2123422;108567
2123423;108567
2123424;108787
2123425;108567
2123426;108567
2123427;108269
2123428;108269
2123429;108269
2123430;108269
2123431;108269
2123432;108269
2123433;108269
2123434;108269
2123435;108269
2123436;108269
2123437;108269
2123438;108428
2123439;108428
2123440;108428
2123441;108188
2123442;108428
2123443;108207
2123444;108207
2123445;108207
2123446;108207
2123447;108207
2123448;108207
2123449;108207
2123450;108207
2123451;108207
2123452;108207
2123453;108207
2123454;108207
2123455;108207
2123456;108207
2123457;108207
2123458;108207
2123459;108207
2123460;108207
2123461;108207
2123462;108207
2123463;108207
2123464;108207
2123465;108207
2123466;108207
2123467;108207
2123468;108207
2123469;108207
