"id","uri","sigla","nome","apelido","idTipoOrgao","tipoOrgao"
"537743","https://dadosabertos.camara.leg.br/api/v2/orgaos/537743","PL101311","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 1013, de 2011, do Sr. Aureo, que ""dispõe sobre a fabricação e venda, em território nacional, de veículos utilitários movidos a óleo diesel, e dá outras providências"", e apensado","PL 1013/11 - MOTORES A DIESEL PARA VEÍCULOS LEVES","3","Comissão Especial"
"537744","https://dadosabertos.camara.leg.br/api/v2/orgaos/537744","PLP13715","Comissão Especial destinada a proferir parecer ao Projeto de Lei Complementar nº 137, de 2015, do Senado Federal, que ""dispõe sobre o procedimento para a criação, a incorporação, a fusão e o desmembramento de Municípios, nos termos do § 4º do art. 18 da Constituição Federal, altera a Lei nº 5.172, de 25 de outubro de 1966, e dá outras providências""","PLP 137/15 - CRIAÇÃO DE MUNICÍPIOS","3","Comissão Especial"
"537745","https://dadosabertos.camara.leg.br/api/v2/orgaos/537745","PL979618","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 9796, de 2018, do Senado Federal, que ""institui o Plano Nacional de Enfrentamento ao Homicídio de Jovens"" e apensados","PL 9796/18 - ENFRENTAMENTO AO HOMICÍDIO DE JOVENS","3","Comissão Especial"
"537749","https://dadosabertos.camara.leg.br/api/v2/orgaos/537749","SUBGOMET","Subcomissão Permanente de Governança Metropolitana","CDU-SUB PERM GOVERNANÇA METROPOLITANA","25","Subcomissão"
"537750","https://dadosabertos.camara.leg.br/api/v2/orgaos/537750","CEESPORT","Comissão Especial destinada a estudar e apresentar propostas de reformulação da Lei Pelé (Lei nº 9.615, de 1998), do Estatuto de Defesa do Torcedor (Lei nº 10.671, de 2003) e das demais legislações aplicadas ao futebol e ao esporte","REFORMULAÇÃO DA LEGISLAÇÃO DO ESPORTE","3","Comissão Especial"
"537756","https://dadosabertos.camara.leg.br/api/v2/orgaos/537756","CETRANSP","Comissão Especial do Marco Regulatório de Transporte Rodoviário de Cargas","MARCO REGULATÓRIO TRANSPORTE RODOVIÁRIO DE CARGAS","3","Comissão Especial"
"537763","https://dadosabertos.camara.leg.br/api/v2/orgaos/537763","PEC08015","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 80-A, de 2015, do Sr. Valtenir Pereira e outros, que ""acrescenta o artigo 132-A à Constituição da República, e os parágrafos 1º, 2º e 3º ao artigo 69 do Ato das Disposições Constitucionais Transitórias, estabelecendo as procuradorias autárquicas e fundacionais e regulando a transição das atividades de assistência, assessoramento e consultoria jurídica para o sistema orgânico das Procuradorias Gerais dos Estados, Distrito Federal e Municípios""","PEC 080/15 - PROCURADORIAS DE ESTADOS E MUNICÍPIOS","3","Comissão Especial"
"537765","https://dadosabertos.camara.leg.br/api/v2/orgaos/537765","CEUNIFI","Comissão Especial destinada a estudar e apresentar propostas de unificação das polícias civis e militares","UNIFICAÇÃO DAS POLÍCIAS CIVIL E MILITAR","3","Comissão Especial"
"537772","https://dadosabertos.camara.leg.br/api/v2/orgaos/537772","SUBDIPUB","Subcomissão Permanente da Dívida Pública Brasileira","CFT-SUBCOMISSÃO PERM DÍVIDA PÚBLICA BRASILEIRA","25","Subcomissão"
"537784","https://dadosabertos.camara.leg.br/api/v2/orgaos/537784","CEXBR101","Comissão Externa destinada a fazer o acompanhamento ""in loco"" e fiscalizar os planos de trabalho, obras realizadas, intervenções futuras, investimentos, obrigações e direitos adquiridos pela Concessionária ECO 101 que administra o trecho da BR 101 que corta o Estado do Espírito Santo","FISCALIZAÇÃO DA CONCESSIONÁRIA ECO 101 - BR 101/ES","5","Comissão Externa"
