id;nome;siglaPartido;siglaUf;urlFoto
178930;EVANDRO ROMAN;PSD;PR;http://www.camara.leg.br/internet/deputado/bandep/178930.jpg
178953;EXPEDITO NETTO;PSD;RO;http://www.camara.leg.br/internet/deputado/bandep/178953.jpg
178904;EZEQUIEL FONSECA;PP;MT;http://www.camara.leg.br/internet/deputado/bandep/178904.jpg
178941;EZEQUIEL TEIXEIRA;PODE;RJ;http://www.camara.leg.br/internet/deputado/bandep/178941.jpg
141428;FÁBIO FARIA;PSD;RN;http://www.camara.leg.br/internet/deputado/bandep/141428.jpg
178905;FABIO GARCIA;DEM;MT;http://www.camara.leg.br/internet/deputado/bandep/178905.jpg
178969;FÁBIO MITIDIERI;PSD;SE;http://www.camara.leg.br/internet/deputado/bandep/178969.jpg
141427;FÁBIO RAMALHO;PMDB;MG;http://www.camara.leg.br/internet/deputado/bandep/141427.jpg
171623;FABIO REIS;PMDB;SE;http://www.camara.leg.br/internet/deputado/bandep/171623.jpg
178877;FÁBIO SOUSA;PSDB;GO;http://www.camara.leg.br/internet/deputado/bandep/178877.jpg
160587;FÁBIO TRAD;PSD;MS;http://www.camara.leg.br/internet/deputado/bandep/160587.jpg
66828;FAUSTO PINATO;PP;SP;http://www.camara.leg.br/internet/deputado/bandep/66828.jpg
141430;FELIPE BORNIER;PROS;RJ;http://www.camara.leg.br/internet/deputado/bandep/141430.jpg
72442;FELIPE CARRERAS;PSB;PE;http://www.camara.leg.br/internet/deputado/bandep/72442.jpg
141429;FELIPE MAIA;DEM;RN;http://www.camara.leg.br/internet/deputado/bandep/141429.jpg
160666;FÉLIX MENDONÇA JÚNIOR;PDT;BA;http://www.camara.leg.br/internet/deputado/bandep/160666.jpg
141431;FERNANDO COELHO FILHO;DEM;PE;http://www.camara.leg.br/internet/deputado/bandep/141431.jpg
160676;FERNANDO TORRES;PSD;BA;http://www.camara.leg.br/internet/deputado/bandep/160676.jpg
160598;FLÁVIA MORAIS;PDT;GO;http://www.camara.leg.br/internet/deputado/bandep/160598.jpg
141434;FLAVIANO MELO;PMDB;AC;http://www.camara.leg.br/internet/deputado/bandep/141434.jpg
178978;FLAVINHO;PSC;SP;http://www.camara.leg.br/internet/deputado/bandep/178978.jpg
178979;FLORIANO PESARO;PSDB;SP;http://www.camara.leg.br/internet/deputado/bandep/178979.jpg
178907;FRANCISCO CHAPADINHA;PODE;PA;http://www.camara.leg.br/internet/deputado/bandep/178907.jpg
160677;FRANCISCO FLORIANO;DEM;RJ;http://www.camara.leg.br/internet/deputado/bandep/160677.jpg
186775;FRANKLIN;PP;MG;http://www.camara.leg.br/internet/deputado/bandep/186775.jpg
129037;GABRIEL GUIMARÃES;PT;MG;http://www.camara.leg.br/internet/deputado/bandep/129037.jpg
160669;GENECIAS NORONHA;SD;CE;http://www.camara.leg.br/internet/deputado/bandep/160669.jpg
141441;GEORGE HILTON;PSC;MG;http://www.camara.leg.br/internet/deputado/bandep/141441.jpg
178966;GEOVANIA DE SÁ;PSDB;SC;http://www.camara.leg.br/internet/deputado/bandep/178966.jpg
74374;GERALDO RESENDE;PSDB;MS;http://www.camara.leg.br/internet/deputado/bandep/74374.jpg
74383;GIACOBO;PR;PR;http://www.camara.leg.br/internet/deputado/bandep/74383.jpg
74270;GILBERTO NASCIMENTO;PSC;SP;http://www.camara.leg.br/internet/deputado/bandep/74270.jpg
