idProposicao;proposicaoTipo;ementa;dataApresentacao
2138672;Projeto de Lei;Proíbe o uso de gorduras vegetais parcialmente hidrogenadas na fabricação de alimentos.;2017-05-19
2138673;Projeto de Lei;Acrescenta § 3° ao art. 24 da Lei n° 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para permitir a fiexibilização da frequência mínima exigida na educação básica, nos níveis fundamental e médio, dos educandos com deficiência ou transtornos globais do desenvolvimento.;2017-05-19
2138674;Projeto de Lei;"Altera o art. 34 da Lei n° 9.615, de 24 de março de 1998, que ""institui normas gerais sobre desporto"", para incluir entre os deveres da entidade de prática desportiva empregadora o de garantir assistência psicológica continuada aos atletas profissionais.";2017-05-19
2138675;Projeto de Lei;"Acrescenta art. 10-B à Lei n° 9.613, de 3 de março de 1998, para estabelecer obrigações quanto ao registro das operações relativas à exploração de loterias e sorteios, com o fim de prevenção do crime de ""lavagem"" ou ocultação de bens, direitos e valores.";2017-05-19
2138676;Projeto de Lei;Institui o Selo de Desburocratização e Simplificação e estabelece critérios para sua concessão.;2017-05-19
2138677;Projeto de Lei;Regula o exercício da profissão de geofísico.;2017-05-19
2138678;Medida Provisória;Estabelece critérios para a celebração de aditivos contratuais relativos às outorgas nos contratos de parceria no setor aeroportuário.;2017-05-22
2138679;Medida Provisória;Institui o Programa de Regularização de Débitos não Tributários junto às autarquias e fundações públicas federais e à Procuradoria-Geral Federal e dá outras providências.    NOVA EMENTA: Institui o Programa de Regularização de Débitos não Tributários (PRD) nas autarquias e fundações públicas federais e na Procuradoria-Geral Federal  altera as Leis nºs 10.522, de 19 de julho de 2002, e 8.213, de 24 de julho de 1991  e dá outras providências.;2017-05-22
2138680;Projeto de Lei;Estabelece sanções para a discriminação contra profissionais de limpeza pública.;2017-05-22
2138686;Requerimento de Informação;Solicita o envio de requerimento de informações ao Sr. Ministro de Estado das Cidades, sobre os critérios de execução do Programa Cartão Reforma.;2017-05-22
2138689;Requerimento de Desapensação;Requer, nos termos regimentais, a desapensação do Projeto de Lei nº 4.010/2015, apensado ao Projeto de Lei nº 3.515/2015, com a finalidade de tramitarem em separados.;2017-05-22
2138690;Requerimento de Voto de regozijo ou louvor;"Requer a apresentação  de Voto de Louvor a SIN Comunicação pela conquista do Prêmio Internacional ""Caracol de Plata"", concedido pela Associação Mexicana Caracol de Plata.";2017-05-22
2138691;Requerimento de Voto de pesar;Requer a apresentação de Voto de Pesar pelo falecimento do senhor, José de Farias, ocorrido em 13 de maio de 2017.;2017-05-22
2138693;Sugestão de Emenda a Relatório;Art. 1º. Altera a redação dos artigos 2º, 8º, 9º, 10, 11, 12 e 13 do Anteprojeto no Anexo I ao Relatório Parcial nº 3 da Comissão Especial para Análise, Estudo e Formulação de Proposições Relacionadas à Reforma Política:;2017-05-22
2138694;Sugestão de Emenda a Relatório;Art. 1º. Altera a redação do art. 10 do Anteprojeto que consta no Anexo I ao Relatório Parcial nº 3 da Comissão Especial para Análise, Estudo e Formulação de Proposições Relacionadas à Reforma Política.;2017-05-22
2138695;Sugestão de Emenda a Relatório;Inclui o art. 17-A ao Anteprojeto que compõe o Anexo I ao Relatório Parcial nº 3 da Comissão Especial para Análise, Estudo e Formulação de Proposições Relacionadas à Reforma Política;2017-05-22
2138697;Sugestão de Emenda a Relatório;Art. 1º. Dá nova redação ao art. 10, caput do Anteprojeto que consta no Anexo I ao Relatório Parcial nº 3 da Comissão Especial para Análise, Estudo e Formulação de Proposições Relacionadas à Reforma Política;2017-05-22
2138699;Sugestão de Emenda a Relatório;Altera diversos artigos de leis relativas a procedimentos de natureza política, concernentes a partidos políticos e eleições.;2017-05-22
2138707;Requerimento;Requeiro, com fulcro no art. 58, § 2°, inciso III da Constituição Federal, e na forma do disposto no Regimento Interno da Câmara dos Deputados, seja convocado a prestar esclarecimentos no Plenário desta Comissão o senhor Ministro de Estado da Fazenda, Henrique de Campos Meirelles, a respeito de empréstimos realizados pelo Banco Nacional de Desenvolvimento Econômico e Social - BNDES à J&F Investimentos, bem como às suas controladas - como a JBS - investigados pela Polícia Federal.;2017-05-22
2138709;Requerimento de Audiência Pública;Requer a realização, no âmbito da Comissão Especial do Sistema Penitenciário, de seminário regional na Assembleia Legislativa do Estado de Tocantins.;2017-05-22
2138716;Requerimento de Audiência Pública;Requer a realização de Audiência Pública para discutir o Projeto de Lei Nº 7197, de 2002, que trata da revisão das medidas socioeducativas do Estatuto da Criança e do Adolescente (ECA).;2017-05-22
2138722;Requerimento de Audiência Pública;Requer seja convidado o Sr. Antônio Fernandes Toninho Costa, ex-presidente da Fundação Nacional do Índio, para discorrer nesta Comissão sobre o trabalho realizado junto ao órgão.;2017-05-22
2138723;Projeto de Lei;Dispõe sobre vedação de recebimento de vantagem econômica em caso de colaboração premiada.;2017-05-22
2138727;Projeto de Lei;Inclui no Marco Civil da Internet, Lei no 12.965, de 23 de abril de 2014, dispositivos relativos à educação digital de crianças e adolescentes;2017-05-23
2138728;Projeto de Lei;Altera a Lei nº 9.096, de 19 de setembro de 1995, que dispõe sobre partidos políticos, a fim de extinguir o uso do fundo partidário para o financiamento de campanhas e publicidade eleitorais.;2017-05-23
2138729;Projeto de Lei;Cria o Roteiro Turístico e Cultural de Portinari;2017-05-23
2138730;Projeto de Lei;"Confere o título de ""Capital Nacional do Basquete"" à cidade de Franca, no Estado de São Paulo.";2017-05-23
2138731;Requerimento de Audiência Pública;Requer a realização de Audiência Pública no âmbito da Comissão de Seguridade Social e Família - CSSF, para debater as elevadas taxas de suicídio indígena no país.;2017-05-23
2138732;Requerimento;Requer que sejam ouvidos os senhores Leonardo Pereira, Presidente da Comissão de Valores Mobiliários (CVM) e Celso Finkelstain, Diretor Presidente da BM&FBOVESPA, para esclarecer acerca da movimentação atípica no mercado financeiro ocorrido em 17 do corrente.;2017-05-23
2138733;Requerimento;Requer a realização de Seminário para debater As Unidades de Conservação no Brasil situação atual e oportunidades.;2017-05-23
