b'uri',b'nome',b'codTipo',b'tipo',b'idProposicao'
https://dadosabertos.camara.leg.br/api/v2/deputados/74158,Mário Heringer,10000,Deputado,2151672
https://dadosabertos.camara.leg.br/api/v2/deputados/186775,Franklin,10000,Deputado,2151680
https://dadosabertos.camara.leg.br/api/v2/deputados/73441,Celso Russomanno,10000,Deputado,2151681
https://dadosabertos.camara.leg.br/api/v2/deputados/160665,Augusto Coutinho ,10000,Deputado,2151682
https://dadosabertos.camara.leg.br/api/v2/deputados/178981,Herculano Passos,10000,Deputado,2151685
https://dadosabertos.camara.leg.br/api/v2/deputados/178887,Rubens Pereira Júnior,10000,Deputado,2151686
https://dadosabertos.camara.leg.br/api/v2/deputados/178966,Geovania de Sá,10000,Deputado,2151691
https://dadosabertos.camara.leg.br/api/v2/deputados/73882,Paulo Bauer,10000,Deputado,2151692
https://dadosabertos.camara.leg.br/api/v2/deputados/73458,Alex Canziani,10000,Deputado,2151693
https://dadosabertos.camara.leg.br/api/v2/deputados/178825,Leo de Brito,10000,Deputado,2151694
https://dadosabertos.camara.leg.br/api/v2/deputados/178825,Leo de Brito,10000,Deputado,2151695
https://dadosabertos.camara.leg.br/api/v2/deputados/178970,João Daniel,10000,Deputado,2151696
https://dadosabertos.camara.leg.br/api/v2/deputados/178970,João Daniel,10000,Deputado,2151697
https://dadosabertos.camara.leg.br/api/v2/deputados/178970,João Daniel,10000,Deputado,2151698
https://dadosabertos.camara.leg.br/api/v2/deputados/141450,Hugo Leal,10000,Deputado,2151699
https://dadosabertos.camara.leg.br/api/v2/deputados/141450,Hugo Leal,10000,Deputado,2151700
https://dadosabertos.camara.leg.br/api/v2/deputados/74160,Patrus Ananias,10000,Deputado,2151701
https://dadosabertos.camara.leg.br/api/v2/deputados/74160,Patrus Ananias,10000,Deputado,2151702
https://dadosabertos.camara.leg.br/api/v2/deputados/74160,Patrus Ananias,10000,Deputado,2151703
https://dadosabertos.camara.leg.br/api/v2/deputados/160639,Professora Dorinha Seabra Rezende,10000,Deputado,2151704
https://dadosabertos.camara.leg.br/api/v2/deputados/160639,Professora Dorinha Seabra Rezende,10000,Deputado,2151705
https://dadosabertos.camara.leg.br/api/v2/deputados/160639,Professora Dorinha Seabra Rezende,10000,Deputado,2151706
https://dadosabertos.camara.leg.br/api/v2/deputados/178929,Diego Garcia,10000,Deputado,2151707
https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado,2151708
https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado,2151709
https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado,2151710
https://dadosabertos.camara.leg.br/api/v2/deputados/73441,Celso Russomanno,10000,Deputado,2151711
https://dadosabertos.camara.leg.br/api/v2/deputados/160632,Zé Silva,10000,Deputado,2151712
https://dadosabertos.camara.leg.br/api/v2/deputados/74315,Heráclito Fortes,10000,Deputado,2151713
https://dadosabertos.camara.leg.br/api/v2/deputados/141478,Laerte Bessa,10000,Deputado,2151714
https://dadosabertos.camara.leg.br/api/v2/deputados/141478,Laerte Bessa,10000,Deputado,2151715
https://dadosabertos.camara.leg.br/api/v2/deputados/141478,Laerte Bessa,10000,Deputado,2151716
https://dadosabertos.camara.leg.br/api/v2/deputados/141478,Laerte Bessa,10000,Deputado,2151717
https://dadosabertos.camara.leg.br/api/v2/deputados/73926,Janete Capiberibe,10000,Deputado,2151718
https://dadosabertos.camara.leg.br/api/v2/deputados/160610,Valmir Assunção,10000,Deputado,2151719
https://dadosabertos.camara.leg.br/api/v2/deputados/160610,Valmir Assunção,10000,Deputado,2151720
https://dadosabertos.camara.leg.br/api/v2/deputados/160610,Valmir Assunção,10000,Deputado,2151721
https://dadosabertos.camara.leg.br/api/v2/deputados/133439,André Figueiredo,10000,Deputado,2151723
https://dadosabertos.camara.leg.br/api/v2/deputados/73910,Paulo Paim,10000,Deputado,2151725
https://dadosabertos.camara.leg.br/api/v2/deputados/160667,Guilherme Mussi,10000,Deputado,2151726
https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado,2151728
https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado,2151729
https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado,2151730
https://dadosabertos.camara.leg.br/api/v2/deputados/160535,Marcon,10000,Deputado,2151731
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151732
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151733
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151734
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151735
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151736
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151737
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151738
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151739
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151740
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151741
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151742
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,10000,Deputado,2151743
https://dadosabertos.camara.leg.br/api/v2/deputados/160653,Roberto de Lucena,10000,Deputado,2151744
https://dadosabertos.camara.leg.br/api/v2/deputados/178904,Ezequiel Fonseca,10000,Deputado,2151745
https://dadosabertos.camara.leg.br/api/v2/deputados/133439,André Figueiredo,10000,Deputado,2151746
https://dadosabertos.camara.leg.br/api/v2/deputados/193982,Pastor Luciano Braga,10000,Deputado,2151748
https://dadosabertos.camara.leg.br/api/v2/deputados/74283,Vicentinho,10000,Deputado,2151749
https://dadosabertos.camara.leg.br/api/v2/deputados/178929,Diego Garcia,10000,Deputado,2151750
https://dadosabertos.camara.leg.br/api/v2/deputados/178929,Diego Garcia,10000,Deputado,2151751
https://dadosabertos.camara.leg.br/api/v2/deputados/178836,Alan Rick,10000,Deputado,2151752
https://dadosabertos.camara.leg.br/api/v2/deputados/160589,Bruna Furlan,10000,Deputado,2151753
https://dadosabertos.camara.leg.br/api/v2/deputados/178911,Simone Morgado,10000,Deputado,2151754
https://dadosabertos.camara.leg.br/api/v2/deputados/74298,José Pimentel,10000,Deputado,2151755
https://dadosabertos.camara.leg.br/api/v2/deputados/74298,José Pimentel,10000,Deputado,2151756
https://dadosabertos.camara.leg.br/api/v2/deputados/74298,José Pimentel,10000,Deputado,2151757
https://dadosabertos.camara.leg.br/api/v2/deputados/74298,José Pimentel,10000,Deputado,2151758
https://dadosabertos.camara.leg.br/api/v2/deputados/74298,José Pimentel,10000,Deputado,2151759
https://dadosabertos.camara.leg.br/api/v2/deputados/178911,Simone Morgado,10000,Deputado,2151760
https://dadosabertos.camara.leg.br/api/v2/deputados/178911,Simone Morgado,10000,Deputado,2151761
https://dadosabertos.camara.leg.br/api/v2/deputados/178911,Simone Morgado,10000,Deputado,2151762
https://dadosabertos.camara.leg.br/api/v2/deputados/178868,Odorico Monteiro,10000,Deputado,2151763
https://dadosabertos.camara.leg.br/api/v2/deputados/178868,Odorico Monteiro,10000,Deputado,2151764
https://dadosabertos.camara.leg.br/api/v2/deputados/160559,Alceu Moreira,10000,Deputado,2151766
https://dadosabertos.camara.leg.br/api/v2/deputados/160559,Alceu Moreira,10000,Deputado,2151767
https://dadosabertos.camara.leg.br/api/v2/deputados/160559,Alceu Moreira,10000,Deputado,2151768
https://dadosabertos.camara.leg.br/api/v2/deputados/178891,Caio Narcio,10000,Deputado,2151770
https://dadosabertos.camara.leg.br/api/v2/deputados/73486,Pompeo de Mattos,10000,Deputado,2151771
https://dadosabertos.camara.leg.br/api/v2/deputados/178857,Jorge Solla,10000,Deputado,2151794
https://dadosabertos.camara.leg.br/api/v2/deputados/178857,Jorge Solla,10000,Deputado,2151795
https://dadosabertos.camara.leg.br/api/v2/deputados/74359,Nilton Capixaba,10000,Deputado,2151796
https://dadosabertos.camara.leg.br/api/v2/deputados/178960,Remídio Monai,10000,Deputado,2151801
https://dadosabertos.camara.leg.br/api/v2/deputados/160426,Rogério Rosso,10000,Deputado,2151804
https://dadosabertos.camara.leg.br/api/v2/deputados/141515,Otavio Leite,10000,Deputado,2151810
https://dadosabertos.camara.leg.br/api/v2/deputados/81232,Irajá Abreu,10000,Deputado,2151813
https://dadosabertos.camara.leg.br/api/v2/deputados/178913,Veneziano Vital do Rêgo,10000,Deputado,2151821
https://dadosabertos.camara.leg.br/api/v2/deputados/178856,João Gualberto,10000,Deputado,2151822
https://dadosabertos.camara.leg.br/api/v2/deputados/129618,Gorete Pereira,10000,Deputado,2151823
https://dadosabertos.camara.leg.br/api/v2/deputados/178998,Raquel Muniz,10000,Deputado,2151830
https://dadosabertos.camara.leg.br/api/v2/deputados/74057,Alice Portugal,10000,Deputado,2151831
https://dadosabertos.camara.leg.br/api/v2/deputados/74554,José Rocha,10000,Deputado,2151832
https://dadosabertos.camara.leg.br/api/v2/deputados/73486,Pompeo de Mattos,10000,Deputado,2151836
https://dadosabertos.camara.leg.br/api/v2/deputados/178953,Expedito Netto,10000,Deputado,2151841
https://dadosabertos.camara.leg.br/api/v2/deputados/178986,Nilto Tatto,10000,Deputado,2151848
https://dadosabertos.camara.leg.br/api/v2/deputados/141417,Edio Lopes,10000,Deputado,2151853
https://dadosabertos.camara.leg.br/api/v2/deputados/74655,Eduardo Barbosa,10000,Deputado,2151855
https://dadosabertos.camara.leg.br/api/v2/deputados/74655,Eduardo Barbosa,10000,Deputado,2151856
https://dadosabertos.camara.leg.br/api/v2/deputados/74655,Eduardo Barbosa,10000,Deputado,2151857
https://dadosabertos.camara.leg.br/api/v2/deputados/178963,Covatti Filho,10000,Deputado,2151866
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151870
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151872
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151873
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151874
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151875
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151876
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151877
https://dadosabertos.camara.leg.br/api/v2/deputados/178848,Conceição Sampaio,10000,Deputado,2151885
https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado,2151886
https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado,2151887
https://dadosabertos.camara.leg.br/api/v2/deputados/193066,Wilson Beserra,10000,Deputado,2151899
https://dadosabertos.camara.leg.br/api/v2/deputados/178970,João Daniel,10000,Deputado,2151901
https://dadosabertos.camara.leg.br/api/v2/deputados/73482,Henrique Fontana,10000,Deputado,2151903
https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado,2151909
https://dadosabertos.camara.leg.br/api/v2/deputados/133439,André Figueiredo,10000,Deputado,2151910
https://dadosabertos.camara.leg.br/api/v2/deputados/160639,Professora Dorinha Seabra Rezende,10000,Deputado,2151911
https://dadosabertos.camara.leg.br/api/v2/deputados/160655,Ricardo Izar,10000,Deputado,2151913
https://dadosabertos.camara.leg.br/api/v2/deputados/160610,Valmir Assunção,10000,Deputado,2151914
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151915
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151916
https://dadosabertos.camara.leg.br/api/v2/deputados/178978,Flavinho,10000,Deputado,2151918
https://dadosabertos.camara.leg.br/api/v2/deputados/178978,Flavinho,10000,Deputado,2151919
https://dadosabertos.camara.leg.br/api/v2/deputados/97707,Heráclito Fortes,10000,Deputado,2151920
https://dadosabertos.camara.leg.br/api/v2/deputados/178937,Altineu Côrtes,10000,Deputado,2151924
